name,nig,h,m,s,dd,dm,ds,V,B,kkk
*  46 Cet,--,1,25,37.233,-14,35,55.64,4.907,6.138,
HD   8424,--,1,25,46.331,70,58,47.64,6.36,6.34,
* del Cas,--,1,25,48.951,60,14,7.02,2.68,2.81,
HD   8713,--,1,25,52.365,-3,55,38.6,6.5,7.85,
* psi Cas,--,1,25,56.022,68,7,48.05,4.727,5.78,
* rho Psc,--,1,26,15.263,19,10,20.45,5.344,5.718,
HD   8671,--,1,26,18.686,43,27,27.87,5.978,6.464,
HD   8733,--,1,26,23.597,20,4,14.9,6.439,7.39,
HD   8779,--,1,26,27.347,0,23,56.52,6.426,7.684,
*  94 Psc,--,1,26,41.679,19,14,25.54,5.495,6.616,
*  47 Cet,--,1,26,51.565,-13,3,23.44,5.505,5.808,
V* R Scl ,--,1,26,58.095,-32,32,35.44,5.72,9.59,
HD   8896,--,1,27,23.31,-22,20,17.63,6.41,7.55,
V* V529 A,nd               ,1,27,26.673,41,6,4.18,6.425,6.711,
* ome And,--,1,27,39.381,45,24,24.07,4.83,5.25,
* gam Phe,--,1,28,21.927,-43,19,5.65,3.41,4.98,
HD   8949,--,1,28,22.916,7,57,40.88,6.214,7.341,
V* AW Phe,--,1,29,30.539,-46,45,23.12,6.28,7.89,
*  48 Cet,--,1,29,36.137,-21,37,45.62,5.104,5.126,
HD   9151,--,1,29,42.817,-25,37,3.92,6.37,7.52,
*  97 Psc,--,1,29,52.862,18,21,20.41,6.023,6.159,
*  49 And,--,1,30,6.102,47,0,26.19,5.261,6.261,
* mu. Psc,--,1,30,11.114,6,8,37.76,4.84,6.22,
HD   9228,--,1,30,22.905,-26,12,28.27,5.926,7.271,
HD   9030,--,1,30,52.121,66,5,53.12,6.137,6.207,
* del Phe,--,1,31,15.105,-49,4,21.73,3.935,4.918,
* eta Psc,--,1,31,29.01,15,20,44.97,3.62,4.6,
HD   9414,--,1,31,39.006,-45,34,32.57,6.17,6.23,
HD   9377,--,1,31,43.25,-30,16,59.08,5.788,6.853,
HD   9298,--,1,32,7.577,34,47,59.87,6.373,6.277,
HD   9544,--,1,32,36.367,-49,43,39.77,6.26,6.703,
HD   9525,--,1,32,56.036,-36,51,54.82,5.493,6.504,
HD   9496,--,1,33,18.278,8,12,31.45,6.33,7.522,
HD   9353,--,1,33,25.707,58,19,38.45,5.709,7.153,
HD  10042,--,1,33,39.172,-78,30,17.35,6.103,7.077,
HD   9562,--,1,33,42.835,-7,1,31.24,5.76,6.4,
HD   5914,--,1,33,50.691,89,0,56.3,6.47,6.56,
* chi Cas,--,1,33,55.88,59,13,55.39,4.681,5.675,
V* KK And,--,1,34,16.622,37,14,13.88,5.91,5.81,
*  49 Cet,--,1,34,37.779,-15,40,34.9,5.607,5.667,
HD   9640,--,1,34,49.066,18,27,37.85,5.903,7.435,
HD   9742,--,1,34,50.784,-31,53,32.34,6.11,7.223,
HD   9690,--,1,34,51.319,-3,31,25.99,6.43,7.79,
HD   9731,--,1,34,51.572,-23,41,58.85,6.4,7.71,
HD   9896,--,1,35,15.023,-58,8,22.11,6.01,6.39,
* 101 Psc,--,1,35,46.442,14,39,41.11,6.219,6.177,
HD   9895,--,1,35,50.566,-39,56,49.65,6.43,6.84,
HD   9712,--,1,35,52.576,41,4,35.1,6.386,7.516,
*  50 Cet,--,1,35,58.97,-15,24,0.66,5.402,6.65,
* tau Scl,--,1,36,8.508,-29,54,26.35,5.69,6.02,
V* OP And,--,1,36,27.2,48,43,22,6.22,7.47,
V* CY Psc,--,1,36,43.527,7,49,53.5,6.42,8,
HD  10052,--,1,36,44.789,-58,16,15.55,6.205,7.779,
* ups And,--,1,36,47.842,41,24,19.64,4.1,4.64,
* pi. Psc,--,1,37,5.919,12,8,30.27,5.535,5.88,
HD  11025,--,1,37,28.029,-84,46,10.62,5.667,6.606,
HD  10009,--,1,37,37.708,-9,24,13.77,6.24,6.77,
* alf Eri,--,1,37,42.845,-57,14,12.31,0.46,0.3,
HD  10024,--,1,37,52.068,-3,26,26.44,6.44,8.02,
HD  10800,--,1,37,55.554,-82,58,29.97,5.87,6.48,
* ups Per,--,1,37,59.557,48,37,41.57,3.57,4.85,
HD   9900,--,1,38,7.567,57,58,39.47,5.536,6.921,
HD  10142,--,1,38,27.484,-36,31,41.7,5.939,6.991,
*  40 Cas,--,1,38,30.918,73,2,24.13,5.281,6.256,
V* GY And,--,1,38,31.824,45,23,58.95,6.38,6.343,
HD  10148,--,1,38,51.789,-21,16,31.39,5.58,5.92,
* chi And,--,1,39,20.988,44,23,10.2,5.008,5.886,
* 105 Psc,--,1,39,40.819,16,24,21.07,5.979,7.131,
HD  10110,--,1,40,13.101,53,52,5.8,6.37,8.01,
* tau And,--,1,40,34.816,40,34,37.37,4.94,4.85,
HD  10262,--,1,40,34.922,8,45,38.97,6.345,6.73,
HD  10204,--,1,40,39.652,43,17,51.48,5.629,5.845,
HD  10308,--,1,41,18.376,25,44,44.56,6.202,6.644,
* nu. Psc,--,1,41,25.894,5,29,15.41,4.44,5.81,
HD  10481,--,1,41,27.322,-38,7,58.18,6.183,6.585,
HD  10348,--,1,41,39.236,30,2,49.63,5.961,6.99,
HD  10453,--,1,41,44.833,-11,19,28.82,5.74,6.18,
HD  10307,--,1,41,47.143,42,36,48.44,4.96,5.58,
HD  10615,--,1,41,47.968,-60,47,21.62,5.692,6.951,
HD  10538,--,1,42,2.994,-36,49,56.29,5.698,5.693,
HD  10390,--,1,42,3.489,35,14,44.54,5.64,5.57,
* pi. Scl,--,1,42,8.622,-32,19,37.29,5.256,6.287,
HD  10293,--,1,42,17.702,58,37,39.88,6.348,6.317,
*  43 Cas,--,1,42,20.526,68,2,34.89,5.59,5.52,
* q01 Eri,--,1,42,29.315,-53,44,26.99,5.52,6.05,
* 107 Psc,--,1,42,29.763,20,16,6.66,5.24,6.08,
HD  10550,--,1,42,43.511,-3,41,24.72,4.982,6.366,
*  42 Cas,--,1,42,55.862,70,37,21.09,5.174,5.143,
HD  10362,--,1,42,58.32,61,25,15.87,6.323,6.32,
HD  10486,--,1,43,16.504,45,19,21.54,6.32,7.36,
*  44 Cas,--,1,43,19.757,60,33,4.8,5.76,5.76,
* phi Per,--,1,43,39.638,50,41,19.43,4.06,4.02,
HD  10588,--,1,43,50.143,32,11,31.26,6.3,7.19,
HD  10658,--,1,43,54.796,-4,45,55.85,6.19,7.725,
* tau Cet,--,1,44,4.083,-15,56,14.93,3.5,4.22,
HD  10597,--,1,44,26.527,46,8,22.89,6.31,7.74,
HD  10725,--,1,44,43.676,-6,45,58.19,6.5,7.1,
HD  10587,--,1,44,46.171,57,5,21.24,6.24,6.3,
* 109 Psc,--,1,44,55.825,20,4,59.34,6.279,6.984,
* omi Psc,--,1,45,23.625,9,9,27.91,4.26,5.22,
* eps Scl,--,1,45,38.757,-25,3,9.4,5.31,5.7,
V* UZ Psc,--,1,45,42.532,8,33,33.29,6.43,6.38,
HD  10824,--,1,45,59.26,-5,43,59.87,5.34,6.86,
HD  10863,--,1,46,1.058,-27,20,55.79,6.385,6.729,
HD  10934,--,1,46,5.966,-50,48,58.52,5.49,7.08,
* q02 Eri,--,1,46,6.263,-53,31,19.33,5.033,5.064,
HD  11022,--,1,47,16.704,-41,45,35.73,6.165,7.712,
HD  10780,--,1,47,44.834,63,51,9.01,5.63,6.44,
* tau02 H,yi               ,1,47,46.447,-80,10,34.71,6.04,6.377,
HD  11050,--,1,47,47.769,-37,9,34.14,6.32,7.337,
HD  10874,--,1,47,48.015,46,13,47.1,6.317,6.761,
*   4 Ari,--,1,48,10.921,16,57,19.85,5.841,5.809,
HD  11037,--,1,48,26.019,3,41,7.62,5.904,6.894,
HD  10975,--,1,48,38.925,37,57,10.33,5.929,6.922,
HD  11031,--,1,49,15.543,47,53,48.92,5.82,6.11,
HD  11183,--,1,49,19.421,-31,4,20.86,6.348,7.581,
* chi Cet,--,1,49,35.103,-10,41,11.07,4.68,5,
HD  11262,--,1,49,48.849,-38,24,10.21,6.37,6.89,
*   1 Ari,--,1,50,8.57,22,16,31.21,5.86,6.6,
HD  11332,--,1,50,20.182,-47,48,59.01,6.14,7.144,
HD  11257,--,1,50,51.973,11,2,36.16,5.922,6.215,
V* BD Phe,--,1,50,54.435,-50,12,22.09,5.929,6.08,
HD  11151,--,1,50,57.128,51,56,0.31,5.951,6.385,
HD  11421,--,1,51,26.356,-39,50,9.37,6.43,7.54,
* zet Cet,--,1,51,27.64,-10,20,6.09,3.72,4.86,
HD  11365,--,1,51,37.8,-6,52,26.9,6.41,7.67,
HD  11396,--,1,51,46.099,-15,38,50.92,6.45,8.02,
*   1 Per,--,1,51,59.32,55,8,50.58,5.52,5.34,
*   2 Per,--,1,52,9.372,50,47,34.07,5.689,5.623,
HD  11335,--,1,52,50.725,51,28,29.41,6.3,6.35,
V* BK Cet,--,1,52,52.113,-16,55,45.3,5.782,6.03,
* alf Tri,--,1,53,4.907,29,34,43.78,3.42,3.9,
*  55 And,--,1,53,17.344,40,43,47.25,5.394,6.714,
HD  11643,--,1,53,23.173,-38,35,40.68,6.086,7.234,
* ksi Psc,--,1,53,33.36,3,11,15.07,4.604,5.552,
* psi Phe,--,1,53,38.741,-46,18,9.6,4.41,6,
HD  11408,--,1,53,48.514,55,35,51.5,6.437,6.62,
* phi Phe,--,1,54,22.034,-42,29,48.94,5.109,5.055,
* eps Cas,--,1,54,23.726,63,40,12.37,3.37,3.22,
* bet Ari,--,1,54,38.411,20,48,28.91,2.65,2.78,
HD  11613,--,1,54,53.78,40,42,7.19,6.248,7.515,
* eta02 H,yi               ,1,54,56.132,-67,38,50.29,4.685,5.623,
HD  11624,--,1,54,57.661,37,7,41.87,6.267,7.456,
HD  11995,--,1,55,46.482,-60,51,39.51,6.058,6.401,
* sig Hyi,--,1,55,50.55,-78,20,54.77,6.146,6.58,
*   7 Ari,--,1,55,51.039,23,34,38.35,5.749,6.938,
HD  11727,--,1,55,54.481,37,16,40.05,5.867,7.502,
* chi Eri,--,1,55,57.456,-51,36,31.97,3.7,4.55,
* ome Cas,--,1,56,0.027,68,41,6.87,4.968,4.874,
HD  11965,--,1,56,9.409,-49,50,11.2,6.36,6.28,
*  56 Cet,--,1,56,40.203,-22,31,36.41,4.85,6.27,
HD  12042,--,1,56,59.985,-51,45,58.49,6.1,6.58,
HD  11964,--,1,57,9.607,-10,14,32.73,6.42,7.25,
HD  12055,--,1,57,10.085,-47,23,7.09,4.834,5.695,
* iot Ari,--,1,57,21.055,17,49,3.12,5.105,6.018,
HD  11928,--,1,57,43.744,27,48,15.76,5.85,7.402,
HD  12270,--,1,57,53.325,-65,25,28.84,6.357,7.269,
* lam Ari,--,1,57,55.716,23,35,45.83,4.766,5.053,
HD  11884,--,1,57,59.235,47,5,43.88,6.45,7.67,
HD  12135,--,1,58,26.677,-33,4,0.45,6.374,7.377,
HD  11857,--,1,58,33.235,61,41,52.04,6.004,5.963,
*   3 Per,--,1,58,33.506,49,12,15.67,5.702,6.706,
* alf Hyi,--,1,58,46.195,-61,34,11.49,2.84,3.13,
HD  12116,--,1,58,45.997,-11,18,3.44,6.46,7.6,
HD  12140,--,1,59,25.883,12,17,41.57,6.076,6.277,
HD  12139,--,1,59,35.684,21,3,30.85,5.892,6.934,
HD  11946,--,1,59,38.037,64,37,17.76,5.278,5.273,
HD  12296,--,1,59,38.815,-42,1,49.91,5.563,6.62,
HD  12477,--,1,59,41.127,-66,3,59.62,6.078,7.265,
*  57 Cet,--,1,59,46.2,-20,49,28.33,5.429,7.027,
* ups Cet,--,2,0,0.309,-21,4,40.19,4.02,5.58,
V* AR Cet,--,2,0,26.823,-8,31,25.94,5.51,7.03,
* pi. For,--,2,1,14.723,-30,0,6.59,5.35,6.23,
* chi Phe,--,2,1,42.377,-44,42,48.63,5.14,6.63,
*  48 Cas,--,2,1,57.45,70,54,25.29,4.54,4.7,
* alf Psc,--,2,2,2.82,2,45,49.54,3.82,3.84,
* g Per  ,--,2,2,18.111,54,29,15.15,5.04,4.96,
HD  12563,--,2,2,28.264,-29,39,56.32,6.41,6.56,
HD  12479,--,2,2,35.075,13,28,36.16,5.94,7.53,
HD  12596,--,2,2,51.735,-23,53,11.86,6.29,7.61,
*  52 Cas,--,2,2,52.476,64,54,5.27,5.986,6.012,
HD  12005,--,2,2,57.029,77,54,58.54,6.046,7.158,
* eps Tri,--,2,2,57.958,33,17,2.91,5.516,5.549,
HD  12583,--,2,2,58.57,-15,18,21.35,5.864,6.833,
*  53 Cas,--,2,3,0.187,64,23,24.06,5.614,5.93,
HD  12173,--,2,3,10.451,73,51,2.05,6.15,6.3,
*  60 Cet,--,2,3,11.65,0,7,42.63,5.423,5.579,
*  50 Cas,--,2,3,26.106,72,25,16.66,3.938,3.953,
*  10 Ari,--,2,3,39.345,25,56,7.71,5.694,6.159,
HD  12642,--,2,3,40.489,-4,6,12.65,5.609,7.189,
HD  12594,--,2,3,42.611,18,15,11.73,6.214,7.649,
*  61 Cet,--,2,3,48.157,0,20,24.89,5.942,6.806,
* gam And,--,2,3,53.952,42,19,47.02,2.1,3.3,
HD  12702,--,2,4,12.465,-11,51,35.17,6.43,7.92,
* nu. For,--,2,4,29.439,-29,17,48.55,4.69,4.52,
HD  12894,--,2,4,35.164,-54,52,54.05,6.45,6.81,
HD  12730,--,2,4,51.01,7,44,8.38,6.43,7.55,
*  47 Cas,--,2,5,7.424,77,16,52.82,5.268,5.59,
*  49 Cas,--,2,5,31.548,76,6,54.21,5.22,6.17,
V* WZ Psc,--,2,6,12.264,8,14,53.21,6.303,7.911,
HD  12923,--,2,6,29.311,0,2,7.29,6.295,7.192,
* kap Ari,--,2,6,33.925,22,38,53.95,5.019,5.154,
*  11 Ari,--,2,6,49.235,25,42,16.4,6.15,6.12,
HD  13004,--,2,6,52.05,-19,8,19.94,6.39,7.54,
* alf Ari,--,2,7,10.406,23,27,44.7,2.01,3.17,
HD  13218,--,2,8,5.685,-41,52,49.52,6.5,6.69,
*  58 And,--,2,8,29.26,37,51,32.69,4.82,4.94,
HD  13013,--,2,8,33.56,44,27,33.94,6.38,7.34,
HD  12953,--,2,8,40.579,58,25,24.97,5.68,6.29,
HD  13215,--,2,8,45.661,-17,46,44.96,6.056,7.698,
HD  13336,--,2,9,9.292,-43,30,59.74,5.83,7.042,
*  14 Ari,--,2,9,25.325,25,56,23.42,4.977,5.318,
HD  12467,--,2,9,25.308,81,17,45.4,6.06,6.18,
* bet Tri,--,2,9,32.627,34,59,14.27,3,3.14,
HD  13305,--,2,9,34.801,-24,20,44.83,6.47,6.77,
HD  13387,--,2,9,48.469,-40,51,59.39,6.49,6.89,
HD  13423,--,2,10,4.806,-43,48,56.07,6.322,7.212,
HD  13137,--,2,10,7.75,53,50,35.13,6.303,7.262,
HD  13445,--,2,10,25.919,-50,49,25.47,6.17,6.94,
*  15 Ari,--,2,10,37.597,19,30,1.21,5.688,7.309,
*  59 And, A               ,2,10,52.825,39,2,22.36,6.07,6.01,
*  59 And, B               ,2,10,53.657,39,2,35.92,6.1,6.03,
*  16 Ari,--,2,11,12.055,25,56,13,5.999,7.376,
*  64 Cet,--,2,11,21.079,8,34,11.3,5.623,6.189,
HD  13456,--,2,11,22.226,-10,3,7.78,5.999,6.398,
*   5 Tri,--,2,11,25.023,31,31,35.02,6.23,6.351,
*   5 Per,--,2,11,29.193,57,38,43.96,6.35,6.68,
HD  13511,--,2,11,33.503,-17,44,34.77,6.49,8.1,
*  63 Cet,--,2,11,35.835,-1,49,31.54,5.933,6.903,
HD  13546,--,2,12,15.768,2,44,43.99,6.49,7.55,
* iot Tri,--,2,12,22.28,30,18,11.04,4.952,5.741,
HD  13522,--,2,12,37.541,24,10,4.02,5.95,7.34,
*  66 Cet,--,2,12,47.541,-2,23,37.07,5.68,6.23,
HD  12927,--,2,12,49.908,79,41,29.54,6.445,6.662,
* mu. For,--,2,12,54.469,-30,43,25.77,5.26,5.243,
* ksi01 C,et               ,2,12,59.998,8,50,48.2,4.35,5.23,
HD  13692,--,2,13,0.988,-21,0,0.48,5.867,6.878,
*  19 Ari,--,2,13,3.304,15,16,47.51,5.7,7.25,
* b And  ,--,2,13,13.322,44,13,53.93,4.826,6.32,
HD  13222,--,2,13,21.146,74,1,39.79,6.261,7.173,
HD  13519,--,2,13,33.511,53,3,30.92,6.46,8.14,
HD  13476,--,2,13,41.611,58,33,38.1,6.43,7.04,
HD  13763,--,2,13,53.554,-9,3,52.67,6.42,7.84,
* pi.01 H,yi               ,2,14,14.543,-67,50,29.18,5.559,7.093,
*  55 Cas,--,2,14,29.09,66,31,27.97,6.07,6.7,
HD  13940,--,2,14,31.945,-41,10,0.35,5.907,6.872,
* pi.02 H,yi               ,2,15,28.627,-67,44,46.91,5.658,6.98,
*  21 Ari,--,2,15,42.777,25,2,34.96,5.579,6.077,
*   7 Tri,--,2,15,56.288,33,21,32.02,5.249,5.239,
HD  13818,--,2,15,57.733,47,48,42.99,6.36,7.41,
* phi Eri,--,2,16,30.586,-51,30,43.8,3.57,3.45,
HD  12918,--,2,16,45.578,83,33,41.08,6.45,7.407,
HD  13854,--,2,16,51.716,57,3,18.88,6.48,6.76,
*  67 Cet,--,2,16,59.043,-6,25,19.62,5.499,6.465,
* gam Tri,--,2,17,18.867,33,50,49.9,4,4.03,
*   8 Per,--,2,17,59.887,57,53,59.35,5.748,6.951,
* chi Per,--,2,18,4.584,57,30,58.76,6.023,7.036,
* tet Ari,--,2,18,7.53,19,54,4.17,5.572,5.58,
*  10 Tri,--,2,18,56.993,28,38,33.64,5.291,5.307,
HD  14262,--,2,18,57.944,23,10,4.15,6.441,6.794,
HD  14412,--,2,18,58.505,-25,56,44.47,6.34,7.07,
HD  14213,--,2,19,10.825,46,28,20.15,6.22,6.37,
* c And  ,--,2,19,16.797,47,22,47.91,5.31,5.31,
HD  14221,--,2,19,22.677,48,57,19.66,6.41,6.82,
HD  14509,--,2,19,24.767,-41,50,54.13,6.37,7.53,
HD  14417,--,2,19,40.777,-4,20,44.06,6.491,6.57,
HD  14641,--,2,19,54.271,-55,56,41.28,5.794,7.359,
HD  14373,--,2,20,4.459,30,11,17.11,6.49,7.72,
HD  14372,--,2,20,41.514,47,18,38.92,6.154,6.065,
*  63 And,--,2,20,58.202,50,9,5.38,5.59,5.46,
* del Hyi,--,2,21,44.941,-68,39,33.89,4.09,4.12,
HD  14433,--,2,21,55.435,57,14,34.5,6.48,6.97,
*  69 Cet,--,2,21,56.628,0,23,44.43,5.287,6.921,
HD  14691,--,2,22,1.532,-10,46,39.12,5.421,5.783,
HD  14728,--,2,22,4.983,-17,39,43.81,5.868,7.131,
HD  14832,--,2,22,11.749,-43,11,59.31,6.298,7.29,
*  70 Cet,--,2,22,12.396,0,53,5.48,5.421,5.725,
* i Per  ,--,2,22,21.435,55,50,44.35,5.17,5.54,
* kap For,--,2,22,32.603,-23,49,0.49,5.19,5.8,
HD  14622,--,2,22,50.303,41,23,46.65,5.795,6.063,
* kap Hyi,--,2,22,52.31,-73,38,44.86,5.987,7.084,
HD  14943,--,2,22,54.675,-51,5,31.66,5.898,6.101,
HD  14830,--,2,22,57.628,-18,21,17.94,6.228,7.184,
HD  14890,--,2,23,6.598,-37,34,34.11,6.496,8.102,
V* V440 P,er               ,2,23,51.744,55,21,53.5,6.291,7.12,
HD  14988,--,2,24,20.116,-25,50,50.86,6.429,7.771,
*  64 And,--,2,24,24.916,50,0,23.56,5.19,6.17,
HD  15064,--,2,24,33.882,-40,50,25.65,6.18,6.84,
* ksi Ari,--,2,24,49.057,10,36,38.03,5.478,5.368,
* lam Hor,--,2,24,53.91,-60,18,43.02,5.355,5.731,
*  71 Cet,--,2,24,58.386,-2,46,48.07,6.335,6.322,
*  10 Per,--,2,25,16.029,56,36,35.36,6.26,6.56,
V* TZ Hor,--,2,25,26.455,-66,29,38.49,6.44,7.89,
*  65 And,--,2,25,37.426,50,16,43.08,4.71,6.249,
* rho Cet,--,2,25,57.006,-12,17,25.7,4.866,4.841,
HD  15144,--,2,26,0.348,-15,20,28.5,5.83,5.97,
HD  15220,--,2,26,35.217,-20,2,33.42,5.881,7.136,
* kap Eri,--,2,26,59.122,-47,42,13.82,4.25,4.11,
HD  15152,--,2,27,7.238,27,0,44.62,6.108,7.59,
*  11 Tri,--,2,27,27.771,31,48,4.61,5.552,6.667,
*  66 And,--,2,27,51.778,50,34,11.91,6.156,6.566,
* phi For,--,2,28,1.703,-33,48,39.74,5.123,5.205,
HD  15646,--,2,28,4.387,-64,17,59.17,6.349,6.327,
* ksi02 C,et               ,2,28,9.557,8,27,36.22,4.3,4.25,
*  12 Tri,--,2,28,9.979,29,40,9.58,5.29,5.58,
HD  15471,--,2,28,35.433,-31,6,8.81,6.105,7.216,
*  13 Tri,--,2,28,48.494,29,55,54.33,5.901,6.478,
* iot Cas,--,2,29,3.948,67,24,8.92,4.53,4.66,
HD  15385,--,2,29,13.682,23,28,8.49,6.19,6.35,
HD  15453,--,2,29,35.358,9,33,56.26,6.111,7.164,
HD  15464,--,2,30,16.607,33,50,1.4,6.252,7.343,
HD  15524,--,2,30,32.353,25,14,6.1,5.879,6.291,
HD  15652,--,2,30,32.794,-22,32,43.15,6.148,7.722,
*  26 Ari,--,2,30,38.417,19,51,19.09,6.13,6.372,
HD  15633,--,2,30,45.204,0,15,20.71,5.99,6.169,
*  27 Ari,--,2,30,54.397,17,42,13.89,6.225,7.135,
HD  15694,--,2,31,30.096,2,16,1.86,5.269,6.53,
* mu. Hyi,--,2,31,40.532,-79,6,33.88,5.275,6.256,
* alf UMi,--,2,31,49.095,89,15,50.79,2.02,2.62,
* sig Cet,--,2,32,5.229,-15,14,40.83,4.75,5.2,
*  14 Tri,--,2,32,6.17,36,8,50.18,5.144,6.627,
*  75 Cet,--,2,32,9.423,-1,2,5.62,5.358,6.366,
HD  15889,--,2,32,14.762,-36,25,38.27,6.276,7.311,
HD  15755,--,2,32,52.62,34,32,32.58,5.826,6.919,
*  29 Ari,--,2,32,54.142,15,2,4.31,5.988,6.541,
* lam01 F,or               ,2,33,7.026,-34,38,59.88,5.889,6.967,
HD  15996,--,2,33,40.223,-20,0,6.91,6.189,7.293,
* ome For,--,2,33,50.701,-28,13,56.39,4.96,4.9,
HD  16170,--,2,33,54.605,-51,5,36.61,6.242,6.751,
*  77 Cet,--,2,34,42.624,-7,51,34.01,5.731,7.126,
HD  16060,--,2,35,4.134,7,28,15.57,6.163,7.217,
HD  16004,--,2,35,27.901,39,39,51.77,6.345,6.258,
HD  16028,--,2,35,38.741,37,18,44.14,5.71,7.116,
*  15 Tri,--,2,35,46.815,34,41,15.16,5.374,6.985,
* nu. Cet,--,2,35,52.473,5,35,35.69,4.871,5.742,
*  80 Cet,--,2,36,0.048,-7,49,53.75,5.535,7.088,
* iot01 F,or               ,2,36,9.265,-30,2,41.92,5.729,6.759,
HD  16247,--,2,36,35.07,7,43,48.1,5.811,6.86,
*  31 Ari,--,2,36,37.918,12,26,51.46,5.64,6.14,
HD  16187,--,2,36,43.032,31,36,27.6,6.075,7.121,
* lam02 F,or               ,2,36,58.608,-34,34,40.71,5.79,6.45,
*  30 Ari, A               ,2,37,0.523,24,38,49.99,6.48,6.86,
HD  16220,--,2,37,6.569,32,53,27.92,6.226,6.71,
* eta Hor,--,2,37,24.388,-52,32,34.91,5.293,5.569,
HD  16024,--,2,37,36.069,65,44,43.21,5.781,7.334,
*  81 Cet,--,2,37,41.802,-3,23,46.23,5.647,6.674,
HD  16399,--,2,38,0.747,7,41,43.02,6.39,6.79,
HD  15920,--,2,38,2.031,72,49,5.71,5.166,6.063,
HD  16327,--,2,38,17.83,37,43,36.17,6.191,6.66,
* iot02 F,or               ,2,38,18.661,-30,11,38.63,5.829,6.292,
HD  16589,--,2,38,24.835,-37,59,25.96,6.483,6.995,
HD  16350,--,2,38,27.956,38,5,20.91,6.287,6.256,
HR   775 ,--,2,38,36.803,3,26,35.53,6.237,7.24,
* nu. Ari,--,2,38,48.992,21,57,41.05,5.451,5.608,
* del Cet,--,2,39,28.956,0,19,42.63,4.07,3.85,
* eps Cet,--,2,39,33.797,-11,52,19.55,4.87,5.33,
* eps Hyi,--,2,39,35.361,-68,16,1.01,4.096,4.047,
* s Eri  ,--,2,39,47.965,-42,53,30.36,4.75,4.81,
HD  16673,--,2,40,12.422,-9,27,10.34,5.79,6.294,
HD  16647,--,2,40,15.692,6,6,43.02,6.26,6.63,
* zet Hor,--,2,40,39.613,-54,32,59.68,5.21,5.61,
* iot Eri,--,2,40,40.035,-39,51,19.35,4.116,5.114,
*  33 Ari,--,2,40,41.074,27,3,39.42,5.296,5.374,
*  84 Cet,--,2,41,13.997,0,41,44.38,5.71,6.23,
HD  16825,--,2,41,34.115,-14,32,57.5,5.974,6.405,
HD  16824,--,2,41,48.327,-3,12,49.7,6.049,7.254,
HD  16975,--,2,42,6.607,-38,23,1.27,5.988,6.909,
HD  17006,--,2,42,8.444,-46,31,27.99,6.094,6.985,
*  12 Per,--,2,42,14.914,40,11,38.18,4.92,5.51,
* mu. Ari,--,2,42,21.936,20,0,41.27,5.74,5.71,
HD  16861,--,2,42,28.935,10,44,30.23,6.31,6.36,
* iot Hor,--,2,42,33.466,-50,48,1.06,5.4,5.97,
HD  16735,--,2,42,59.523,53,31,33.98,5.835,6.987,
HD  16780,--,2,43,1.857,48,15,54.87,6.28,7.43,
*  11 Per,--,2,43,2.838,55,6,21.67,5.753,5.639,
* gam Cet,--,2,43,18.039,3,14,8.94,3.47,3.56,
CCDM J024,33-4032AB        ,2,43,20.235,-40,31,40.47,6.36,6.34,
*  35 Ari,--,2,43,27.112,27,42,25.7,4.67,4.54,
HD  17001,--,2,43,28.921,-2,31,53.11,6.48,7.46,
HD  16955,--,2,43,51.244,25,38,18.05,6.36,6.46,
*  14 Per,--,2,44,5.159,44,17,49.35,5.435,6.32,
* pi. Cet,--,2,44,7.349,-13,51,31.31,4.236,4.112,
HD  17254,--,2,44,10.572,-52,34,14.15,6.151,6.235,
* tet Per,--,2,44,11.987,49,13,42.41,4.11,4.62,
*  36 Ari,--,2,44,19.113,17,45,50.13,6.398,7.542,
HD  17168,--,2,44,20.537,-32,31,28.97,6.204,6.235,
* omi Ari,--,2,44,32.972,15,18,42.71,5.777,5.75,
HD  16769,--,2,44,49.696,67,49,28.68,5.945,6.059,
* tau01 E,ri               ,2,45,6.203,-18,34,21.48,4.46,4.94,
HD  17163,--,2,45,20.907,4,42,41.87,6.031,6.347,
* gam Hor,--,2,45,27.478,-63,42,16.39,5.743,6.672,
* zet Hyi,--,2,45,32.634,-67,36,59.83,4.82,4.886,
HD  17390,--,2,46,45.104,-21,38,22.28,6.469,6.85,
HD  17228,--,2,46,58.322,35,59,0.67,6.25,7.19,
HD  17240,--,2,47,3.575,35,33,16.83,6.25,6.59,
HD  17438,--,2,47,11.106,-22,29,8.68,6.461,6.844,
HD  17246,--,2,47,31.155,44,16,19.92,6.47,7.09,
HD  16458,--,2,47,47.732,81,26,54.52,5.781,7.091,
*  39 Ari,--,2,47,54.541,29,14,49.61,4.51,5.63,
*  40 Ari,--,2,48,32.089,18,17,1.65,5.83,7.051,
V* VZ Ari,--,2,48,45.907,25,11,16.95,5.89,5.85,
V* RZ Cas,--,2,48,55.51,69,38,3.44,6.26,6.4,
* nu. Hor,--,2,49,1.487,-62,48,23.49,5.253,5.352,
* bet For,--,2,49,5.419,-32,24,21.23,4.46,5.45,
HD  17484,--,2,49,26.914,37,19,35.02,6.448,6.87,
HD  17378,--,2,49,30.737,57,5,3.55,6.26,7.14,
* gam01 F,or               ,2,49,50.962,-24,33,37.13,6.146,7.226,
* gam02 F,or               ,2,49,54.182,-27,56,31.12,5.377,5.384,
