name,nig,h,m,s,dd,dm,ds,V,B,kkk
HD  46547,--,6,32,38.978,-32,1,49.59,5.706,5.528,
V* HR CMa,--,6,32,46.872,-11,9,58.97,6.24,7.35,
*  13 Mon,--,6,32,54.228,7,19,58.67,4.5,4.5,
HD  46727,--,6,33,10.24,-38,37,30.67,6.434,7.423,
HD  47001,--,6,33,26.282,-52,19,45.24,6.172,7.265,
HD  46602,--,6,33,26.664,-20,55,26.26,6.402,7.199,
HD  46374,--,6,33,36.165,14,9,18.6,5.553,6.665,
HD  46487,--,6,33,37.921,-1,13,12.53,5.079,4.934,
HD  46815,--,6,33,49.48,-36,13,55.29,5.405,6.82,
*   7 Lyn,--,6,34,32.8,55,21,10.96,6.46,8.06,
HD  46936,--,6,34,35.331,-32,42,58.51,5.61,5.526,
*  14 Mon,--,6,34,46.326,7,34,20.95,6.46,6.44,
* N Car  ,--,6,34,58.58,-52,58,32.19,4.4,4.37,
* ksi02 C,Ma               ,6,35,3.389,-22,57,53.29,4.5,4.49,
*  49 Aur,--,6,35,12.062,28,1,20.33,5.26,5.248,
HD  46769,--,6,35,15.829,0,53,24.8,5.86,5.84,
HD  46709,--,6,35,17.597,9,59,18.01,5.887,7.412,
HD  47144,--,6,35,24.218,-36,46,47.56,5.77,5.63,
HD  47012,--,6,35,30.819,-22,6,32.59,6.32,7.36,
HD  47230,--,6,35,54.029,-36,5,19.08,6.35,6.83,
* nu.01 C,Ma               ,6,36,22.848,-18,39,35.73,5.695,6.538,
V* UU Aur,--,6,36,32.838,38,26,43.83,5.25,7.89,
HD  47054,--,6,36,35.33,-5,12,40.1,5.52,5.44,
* nu.02 C,Ma               ,6,36,41.038,-19,15,21.17,3.91,5.011,
HD  47247,--,6,36,41.064,-22,36,53.03,6.397,6.272,
HD  47182,--,6,36,46.596,-13,19,15.67,5.939,7.502,
HD  47475,--,6,36,51.273,-41,33,25.7,6.338,7.49,
HD  47463,--,6,37,1.887,-38,8,47.4,6.052,7.106,
HD  47500,--,6,37,13.835,-36,59,26.34,5.717,5.607,
HD  47129,--,6,37,24.042,6,8,7.38,6.06,6.11,
HD  47020,--,6,37,27.289,24,35,27.07,6.48,6.56,
HD  47156,--,6,37,36.894,10,51,11.86,6.37,7.73,
*  11 Lyn,--,6,37,38.387,56,51,27.11,5.89,5.89,
HD  47220,--,6,37,40.326,2,42,14.98,6.172,7.258,
HD  47366,--,6,37,40.794,-12,59,6.42,6.106,7.096,
* gam Gem,--,6,37,42.711,16,23,57.41,1.92,1.92,
* nu. Pup,--,6,37,45.671,-43,11,45.36,3.17,3.06,
HD  47536,--,6,37,47.618,-32,20,23.03,5.258,6.43,
HD  47240,--,6,37,52.704,4,57,24.01,6.2,6.35,
* nu.03 C,Ma               ,6,37,53.421,-18,14,14.92,4.42,5.57,
HD  48189,--,6,38,0.376,-61,32,0.1,6.182,6.747,
HD  47420,--,6,38,20.456,-2,32,38.03,6.116,7.584,
HD  47579,--,6,38,22.907,-23,34,49.15,6.5,7.16,
*  53 Aur,--,6,38,23.01,28,59,3.62,5.744,5.761,
HD  47561,--,6,38,35.426,-16,52,24.76,6.03,6.06,
HD  47973,--,6,38,37.636,-48,13,12.67,5.03,6.02,
HD  47432,--,6,38,38.188,1,36,48.68,6.31,6.44,
*  51 Aur,--,6,38,39.537,39,23,27.07,5.69,7.04,
* psi03 A,ur               ,6,38,49.181,39,54,9.22,5.331,5.254,
HD  47358,--,6,39,5.301,22,1,51.18,6.08,7.121,
