n,h,m,s,znak,dd,dm,ds,mV,B-V
--,5,20,56.6,+,19,48,51,6.18,1.23
--,5,52,23.4,+,19,52,5,6.06,0.54
--,5,19,14.7,+,20,8,5,6.08,1.01
--,5,55,49.3,+,20,10,30,5.4,0.99
54Chi1Ori,5,54,22.9,+,20,16,34,4.41,0.59
--,5,53,19.1,+,20,17,57,6.71,-0.07
106    Tau,5,7,48.4,+,20,25,6,5.3,0.09
--,5,33,38.8,+,20,28,27,6.18,-0.07
--,5,45,39.4,+,20,41,42,6.95,3.03
--,5,48,22.4,+,20,52,10,6.07,-0.08
123Zet Tau,5,37,38.7,+,21,8,33,3,-0.19
--,5,4,21.6,+,21,16,41,6.19,1.32
102Iot Tau,5,3,5.7,+,21,35,24,4.64,0.16
105    Tau,5,7,55.5,+,21,42,17,5.89,0.19
--,5,39,27,+,21,45,46,6.34,0.06
114    Tau,5,27,38.1,+,21,56,13,4.88,-0.15
109    Tau,5,19,16.6,+,22,5,47,4.94,0.93
108    Tau,5,15,27.7,+,22,17,5,6.27,0.08
--,5,30,43.4,+,22,27,45,6.29,1.18
--,5,43,19.5,+,23,12,15,6.21,-0.06
--,5,41,54.6,+,23,19,35,6.59,-0.06
121    Tau,5,35,27.1,+,24,2,22,5.38,-0.09
--,5,56,56.1,+,24,14,59,6.02,0.39
103    Tau,5,8,6.6,+,24,15,55,5.5,0.06
132    Tau,5,49,1,+,24,34,3,4.86,1.01
118    Tau,5,29,16.5,+,25,9,2,5.47,-0.04
125    Tau,5,39,44.2,+,25,53,49,5.18,-0.15
--,5,36,30.2,+,25,56,22,6.49,0.43
139    Tau,5,57,59.7,+,25,57,14,4.82,-0.06
--,5,37,8.8,+,26,55,27,5.83,-0.07
136    Tau,5,53,19.6,+,27,36,44,4.58,-0.02
--,5,35,55.5,+,27,39,44,6.27,1.54
--,5,4,37.9,+,27,41,46,6.6,0.24
--,5,20,59.3,+,27,57,26,6.33,0.04
--,5,50,58.1,+,27,58,4,5.56,0.97
--,5,9,45.1,+,28,1,50,6.01,0.27
112Bet Tau,5,26,17.5,+,28,36,27,1.65,-0.13
22    Aur,5,23,22.9,+,28,56,12,6.46,-0.04
--,5,56,33.8,+,28,56,32,6.32,0.3
--,5,29,40.6,+,29,11,11,6.24,0.45
--,5,39,18.4,+,29,12,55,5.96,0.16
--,5,41,21,+,29,29,15,6.43,-0.11
--,5,21,12.7,+,29,34,12,5.76,0.06
--,5,27,8.3,+,30,12,31,5.74,0.16
26    Aur,5,38,38.1,+,30,29,33,5.4,0.45
--,5,4,14.5,+,30,29,41,6.14,1.21
--,5,24,38.5,+,31,8,35,5.94,0.04
--,5,24,38.3,+,31,13,26,6.28,1.24
--,5,40,35.9,+,31,21,29,6.04,0.04
--,5,54,59,+,31,42,6,5.9,0.14
--,5,40,42.1,+,31,55,15,6.11,2.12
--,5,51,25.7,+,32,7,30,6.25,1.75
25Chi Aur,5,32,43.7,+,32,11,31,4.76,0.34
--,5,4,36.9,+,32,19,13,6.62,0.27
14    Aur,5,15,24.4,+,32,41,16,5.02,0.23
--,5,33,27.5,+,32,48,4,6.48,0.09
--,5,26,51.3,+,33,15,46,6.15,1.15
16    Aur,5,18,10.7,+,33,22,18,4.54,1.27
--,5,37,45.7,+,33,33,33,6.33,1.31
--,5,19,0,+,33,44,54,5.41,-0.19
17    Aur,5,18,18.9,+,33,46,2,6.14,-0.06
--,5,52,40.1,+,33,55,3,5.98,1.6
19    Aur,5,20,0.9,+,33,57,29,5.03,0.27
18    Aur,5,19,23.6,+,33,59,8,6.49,0.24
--,5,16,18.2,+,34,18,43,5.96,0.22
--,5,26,48.9,+,34,23,30,5.94,0.14
24Phi Aur,5,27,38.9,+,34,28,33,5.07,1.4
--,5,33,38,+,34,43,33,6.27,0.15
--,5,25,13,+,34,51,19,6.55,1.11
--,5,26,54.3,+,35,27,26,6.15,1.45
--,5,6,0.9,+,35,56,11,6.52,0.16
37The Aur,5,59,43.3,+,37,12,45,2.62,-0.08
--,5,10,18.9,+,37,18,7,6.02,0.72
31Ups Aur,5,51,2.4,+,37,18,20,4.74,1.62
21Sig Aur,5,24,39.2,+,37,23,8,4.99,1.42
11Mu  Aur,5,13,25.7,+,38,29,4,4.86,0.18
32Nu  Aur,5,51,29.4,+,39,8,55,3.97,1.13
29Tau Aur,5,49,10.5,+,39,10,52,4.52,0.94
5    Aur,5,0,18.3,+,39,23,41,5.95,0.41
--,5,52,39.5,+,39,34,28,6.45,0.09
--,5,30,45.1,+,39,49,33,6.37,0.97
15Lam Aur,5,19,8.5,+,40,5,57,4.71,0.63
--,5,36,52.4,+,40,10,56,6.09,1.03
--,5,18,40.4,+,40,27,54,6.18,1.37
--,5,45,49.5,+,40,30,26,6.58,0.25
--,5,22,50.3,+,41,1,46,5.54,0.12
8Zet Aur,5,2,28.7,+,41,4,33,3.75,1.22
--,5,20,14.8,+,41,5,10,5.52,0.11
10Eta Aur,5,6,30.9,+,41,14,4,3.17,-0.18
--,5,3,18.6,+,41,26,30,6.14,0.16
--,5,30,48.6,+,41,27,43,6,1.11
20Rho Aur,5,21,48.4,+,41,48,16,5.23,-0.15
--,5,33,28.7,+,42,6,32,6.55,-0.02
--,5,47,14.7,+,42,31,36,6.29,1.35
--,5,18,15.9,+,42,47,32,5.48,1.65
--,5,6,49.6,+,43,10,29,6.2,0.43
7Eps Aur,5,1,58.1,+,43,49,24,2.99,0.54
34Bet Aur,5,59,31.7,+,44,56,51,1.9,0.03
35Pi  Aur,5,59,56.1,+,45,56,13,4.26,1.72
13Alp Aur,5,16,41.4,+,45,59,53,0.08,0.8
--,5,10,42.9,+,46,57,44,5.68,0.42
--,5,20,39.3,+,46,57,50,6.54,0.6
--,5,36,15.9,+,47,42,55,6.11,0.26
--,5,57,4.9,+,49,1,46,6.47,0.99
27Omi Aur,5,45,54,+,49,49,35,5.47,0.03
--,5,59,21.8,+,49,55,28,5.89,1.23
--,5,50,56.4,+,51,30,53,6.29,1.05
9    Aur,5,6,40.6,+,51,35,52,5,0.33
--,5,14,44.3,+,53,12,50,6.2,0.07
--,5,41,20.3,+,53,28,52,6.23,0.84
--,5,17,17.8,+,53,35,10,6.5,1.66
33Del Aur,5,59,31.6,+,54,17,5,3.72,1
--,5,36,35.2,+,54,25,44,5.73,1.63
--,5,59,48.1,+,54,32,50,6.14,1.2
--,5,59,45.7,+,55,19,15,6.44,0.31
30Xi  Aur,5,54,50.8,+,55,42,25,4.99,0.05
26    Cam,5,46,30.4,+,56,6,56,5.94,0.17
24    Cam,5,43,1.6,+,56,34,54,6.05,0.95
18    Cam,5,32,33.8,+,57,13,16,6.48,0.57
16    Cam,5,23,27.8,+,57,32,40,5.28,-0.03
15    Cam,5,19,27.8,+,58,7,2,6.13,-0.03
30    Cam,5,52,17.4,+,58,57,51,6.14,-0.04
11    Cam,5,6,8.5,+,58,58,21,5.08,-0.08
12    Cam,5,6,12.2,+,59,1,16,6.08,1.12
--,5,15,11.3,+,59,24,20,6.15,1.18
31    Cam,5,54,57.8,+,59,53,18,5.2,0.02
10Bet Cam,5,3,25.1,+,60,26,32,4.03,0.92
--,5,1,35.9,+,61,4,41,6.03,0.41
--,5,6,29.7,+,61,10,12,6.04,1.37
23    Cam,5,44,8.6,+,61,28,36,6.15,0.9
--,5,13,3.2,+,61,51,0,6.17,0.02
--,5,20,22.6,+,62,39,13,5.61,1.75
14    Cam,5,13,31.3,+,62,41,29,6.5,0.21
17    Cam,5,30,10.2,+,63,4,2,5.42,1.71
19    Cam,5,37,15.1,+,64,9,17,6.15,0.01
--,5,9,44.5,+,64,55,10,6.41,0.4
--,5,42,26.4,+,65,41,52,5.6,1.24
--,5,57,35,+,66,5,46,6.25,1.36
--,5,2,50.4,+,66,49,22,6.19,0.48
--,5,52,55.5,+,68,28,17,6.2,0.95
--,5,9,36.7,+,69,38,22,6.41,1.11
--,5,12,22.4,+,73,56,48,5.43,-0.12
--,5,2,20.1,+,74,16,9,6.06,1.57
--,5,39,43.7,+,75,2,38,6.17,1.57
--,5,14,35.6,+,76,28,22,6.37,-0.02
--,5,29,25.7,+,77,58,39,6.56,0.14
--,5,22,33.5,+,79,13,52,5.05,0.47
--,5,0,20.7,+,81,11,38,5.07,1.28
--,5,31,48,+,85,56,19,6.51,0.32
--,6,27,15.6,-,0,16,34,5.55,1.38
--,6,15,34.3,-,0,30,44,5.65,0.5
--,6,50,49.9,-,0,32,27,5.77,0.39
--,6,25,16.4,-,0,56,46,5.87,0.56
--,6,54,24.6,-,1,7,37,5.45,0.18
--,6,33,37.9,-,1,13,13,5.1,-0.14
--,6,48,19,-,1,19,9,5.75,0.28
--,6,26,39.6,-,1,30,26,5.87,0.08
--,6,54,42.1,-,1,45,23,6.21,0.56
--,6,49,16.4,-,2,16,19,5.74,-0.1
--,6,12,44.4,-,2,30,16,6.62,0.05
--,6,38,20.5,-,2,32,37,6.14,1.48
--,6,54,58.8,-,2,48,13,6.04,1.1
--,6,19,59.6,-,2,56,40,4.9,1.6
--,6,0,3.4,-,3,4,27,4.53,1.22
--,6,13,54.3,-,3,44,29,5.83,0.94
--,6,25,47.1,-,3,53,21,6.35,1.02
--,6,6,38.7,-,4,11,38,5.38,-0.13
--,6,14,36.7,-,4,34,6,5.83,-0.17
--,6,26,34.5,-,4,35,50,6.15,-0.14
--,6,11,43.7,-,4,39,56,6.18,-0.08
--,6,23,22.7,-,4,41,14,6.67,0.06
10    Mon,6,27,57.6,-,4,45,44,5.06,-0.17
--,6,15,29.7,-,4,54,55,5.99,0.09
--,6,36,35.3,-,5,12,40,5.52,-0.08
--,6,52,22.9,-,5,18,58,6.3,0.99
--,6,9,36.2,-,5,42,40,6.17,0.34
--,6,54,8.5,-,5,51,9,6.41,0.17
--,6,32,23.1,-,5,52,8,5.6,0.25
5Gam Mon,6,14,51.3,-,6,16,29,3.98,1.32
--,6,11,51.8,-,6,33,1,5.05,-0.2
--,6,4,13.5,-,6,42,33,5.21,-0.06
--,6,11,1.3,-,6,45,15,6.15,0.01
11Bet Mon,6,28,49,-,7,1,58,4.6,-0.1
11Bet Mon,6,28,49.5,-,7,2,4,5.4,-0.07
--,6,26,44.9,-,7,30,41,6.27,-0.04
7    Mon,6,19,42.8,-,7,49,23,5.27,-0.19
--,6,25,58.8,-,7,53,39,6.4,0.14
--,6,50,42.3,-,8,2,28,6.29,0
--,6,31,50.1,-,8,9,29,5.43,1.38
--,6,57,0.1,-,8,10,44,6.34,0.64
--,6,19,7.9,-,8,35,11,6.22,-0.04
--,6,47,37.1,-,8,59,54,5.07,1.8
--,6,15,26,-,9,2,7,6.1,-0.08
--,6,41,56.4,-,9,10,2,5.19,1.53
--,6,18,50.6,-,9,23,25,5.36,1.24
--,6,23,36,-,9,52,28,6.19,1.84
--,6,30,11.3,-,10,4,53,5.93,1.38
--,6,46,39,-,10,6,26,5.66,-0.05
--,6,5,27,-,10,14,34,5.87,0.37
3    Mon,6,1,50.4,-,10,35,53,4.95,-0.12
6    Mon,6,17,35.2,-,10,43,31,6.75,0.35
--,6,32,46.9,-,11,9,59,6.24,1.11
--,6,6,51.9,-,11,10,25,6.66,-0.15
--,6,24,10.3,-,11,31,49,5.22,1.24
--,6,21,24.7,-,11,46,24,5.64,-0.02
14The CMa,6,54,11.4,-,12,2,19,4.07,1.43
--,6,31,23,-,12,23,30,5.15,1.27
--,6,0,17.7,-,12,53,59,6.22,0.36
--,6,24,20.5,-,12,57,45,6.12,-0.08
--,6,37,40.9,-,12,59,6,6.12,1
--,6,30,34.7,-,13,8,53,6.16,-0.15
--,6,36,46.7,-,13,19,15,5.97,1.56
--,6,15,44.9,-,13,43,6,5.01,-0.08
18Mu  CMa,6,56,6.6,-,14,2,37,5,1.18
--,6,39,16.7,-,14,8,45,4.82,1.5
11    CMa,6,46,51.1,-,14,25,33,5.29,-0.04
--,6,2,33.8,-,14,29,50,6.2,0.96
--,6,9,34.3,-,14,35,3,5.56,1.16
--,6,45,59.3,-,14,47,46,5.32,0.07
18The Lep,6,6,9.3,-,14,56,7,4.67,0.05
--,6,18,48.8,-,15,1,29,6.06,1.66
--,6,23,46,-,15,4,18,6.24,1.53
--,6,48,57.8,-,15,8,41,5.39,-0.1
17    Lep,6,4,59.1,-,16,29,4,4.93,0.24
--,6,16,7.7,-,16,37,4,5.92,-0.17
9Alp CMa,6,45,8.9,-,16,42,58,-1.46,0
--,6,17,41.7,-,16,48,57,5.14,1.3
--,6,38,35.4,-,16,52,25,6.03,0.03
20Iot CMa,6,56,8.2,-,17,3,15,4.37,-0.07
--,6,50,21.9,-,17,5,2,5.79,1.44
--,6,28,37.3,-,17,27,58,5.77,1.12
--,6,12,46.3,-,17,45,47,6.52,-0.17
2Bet CMa,6,22,42,-,17,57,21,1.98,-0.23
--,6,9,20.3,-,18,7,34,6.35,-0.03
8Nu 3CMa,6,37,53.4,-,18,14,15,4.43,1.15
--,6,15,17.5,-,18,28,36,5.99,1.06
6Nu 1CMa,6,36,22.8,-,18,39,36,5.7,0.85
--,6,53,21.7,-,18,56,0,6.14,0.15
--,6,53,18.8,-,19,1,58,5.64,0.28
19    Lep,6,7,41.6,-,19,9,57,5.31,1.68
7Nu 2CMa,6,36,41,-,19,15,21,3.95,1.06
--,6,23,47.6,-,19,47,7,6.6,-0.15
--,6,18,13.7,-,19,58,1,5.52,-0.18
19Pi  CMa,6,55,37.4,-,20,8,11,4.68,0.37
15    CMa,6,53,32.9,-,20,13,27,4.83,-0.21
--,6,15,8.4,-,20,16,20,5.91,1.32
17    CMa,6,55,2.7,-,20,24,17,5.74,0.08
--,6,33,26.6,-,20,55,26,6.4,0.83
--,6,18,59,-,20,55,34,5.81,-0.15
12    CMa,6,47,1.5,-,21,0,56,6.08,-0.19
--,6,59,39.3,-,21,36,12,6.26,-0.15
--,6,6,57.6,-,21,48,46,5.78,1.64
--,6,57,14.8,-,22,12,12,6.61,-0.19
--,6,8,57.9,-,22,25,39,5.5,-0.01
--,6,42,45.8,-,22,26,57,6.13,0.34
--,6,36,40.9,-,22,36,54,6.35,-0.11
--,6,17,3.5,-,22,42,54,6.07,0.56
--,6,9,47.9,-,22,46,27,5.71,0.44
--,6,55,46.8,-,22,56,29,5.3,-0.18
5Xi 2CMa,6,35,3.4,-,22,57,53,4.54,-0.05
--,6,6,32,-,23,6,38,5.47,0.08
4Xi 1CMa,6,31,51.3,-,23,25,6,4.33,-0.24
--,6,45,23.3,-,23,27,43,6.05,1.2
--,6,39,36.3,-,23,41,44,6.05,-0.03
--,6,13,45.1,-,23,51,43,6.39,0.72
--,6,54,13,-,23,55,42,6.91,-0.28
--,6,49,44,-,24,4,33,6.33,0.04
16Omi1CMa,6,54,7.9,-,24,11,2,3.87,1.73
--,6,5,45.7,-,24,11,44,6.95,1.63
--,6,53,55.3,-,24,32,21,6.21,0.01
--,6,57,33.9,-,24,37,50,5.46,0.36
--,6,58,35.9,-,25,24,50,5.59,-0.16
--,6,1,13.1,-,25,25,4,6.05,0.02
--,6,23,55.9,-,25,34,40,5.63,1.56
--,6,50,36.9,-,25,46,41,6.33,-0.18
--,6,27,11.2,-,25,51,24,6.07,0.53
--,6,3,15.5,-,26,17,4,5.04,1.34
--,6,11,13.5,-,26,28,56,6.09,-0.04
--,6,9,47.2,-,26,42,3,6.27,1.01
--,6,53,0.1,-,26,57,27,6.4,1.53
--,6,10,34.6,-,27,9,15,5.72,1.07
--,6,58,7.6,-,27,9,53,6.37,-0.19
--,6,50,6,-,27,20,2,7.04,-0.18
--,6,44,51.9,-,27,20,29,6.45,0.54
--,6,57,42.4,-,27,32,15,6.23,-0.14
--,6,30,46.3,-,27,46,10,5.93,-0.15
--,6,53,33.9,-,28,32,23,6.04,0.71
--,6,24,43.9,-,28,46,48,6.39,0.62
21Eps CMa,6,58,37.5,-,28,58,20,1.5,-0.21
--,6,13,33.3,-,29,23,46,6.54,-0.1
--,6,6,5.5,-,29,45,31,5.81,0.05
--,6,15,57.2,-,29,47,18,6.67,1.55
1Zet CMa,6,20,18.8,-,30,3,48,3.02,-0.19
--,6,39,42.7,-,30,28,13,5.71,1.14
--,6,45,2.4,-,30,35,10,6.54,-0.11
--,6,45,31.3,-,30,56,56,5.8,-0.19
--,6,58,43.8,-,30,59,52,6.42,-0.14
10    CMa,6,44,28.4,-,31,4,14,5.2,-0.12
--,6,50,23.3,-,31,42,22,5.7,0.14
--,6,23,14.4,-,31,47,24,6.34,0.89
--,6,45,22.8,-,31,47,37,5.92,0.48
--,6,32,39,-,32,1,50,5.69,-0.17
--,6,4,20.3,-,32,10,21,5.65,-0.19
--,6,37,47.6,-,32,20,23,5.27,1.18
--,6,28,39.2,-,32,22,16,5.74,-0.17
13Kap CMa,6,49,50.5,-,32,30,31,3.96,-0.23
Lam CMa,6,28,10.1,-,32,34,48,4.48,-0.17
--,6,34,35.3,-,32,42,59,5.62,-0.08
Del Col,6,22,6.8,-,33,26,11,3.85,0.88
--,6,1,16.4,-,33,54,42,5.55,1.58
--,6,58,25.1,-,34,6,42,5.06,-0.16
--,6,20,36.3,-,34,8,38,5.53,-0.19
--,6,7,3.7,-,34,18,43,5.83,-0.13
--,6,50,52.4,-,34,22,2,4.99,1.38
--,6,19,41,-,34,23,48,5.78,-0.08
--,6,25,29.9,-,35,3,50,6.25,1.36
Kap Col,6,16,33.1,-,35,8,26,4.37,1
--,6,31,13,-,35,15,33,5.84,0.81
--,6,56,45.7,-,35,20,30,6.29,1.29
--,6,57,17.6,-,35,30,27,6.23,0.46
--,6,5,27.1,-,35,30,49,5.8,0.02
--,6,35,54,-,36,5,20,6.35,0.48
--,6,51,42.3,-,36,13,49,5.96,0.18
--,6,33,49.5,-,36,13,56,5.42,1.44
--,6,24,1,-,36,42,28,5.62,1.04
--,6,35,24.1,-,36,46,48,5.59,-0.14
--,6,31,35,-,36,56,24,6.34,1.63
--,6,37,13.8,-,36,59,26,5.71,-0.12
The Col,6,7,31.6,-,37,15,11,5.02,-0.11
--,6,17,9.5,-,37,15,11,5.87,0.14
--,6,32,21.3,-,37,41,48,5.24,1
--,6,17,1.2,-,37,44,15,5.53,1.14
--,6,46,12.1,-,37,46,32,6.21,-0.13
--,6,27,7.5,-,37,53,44,6.48,0.39
--,6,47,21.4,-,37,55,47,5.26,-0.08
--,6,37,1.9,-,38,8,48,6.04,1.03
--,6,39,56.9,-,38,9,32,6.58,1.18
--,6,42,16.4,-,38,23,55,6.29,0.34
--,6,33,10.3,-,38,37,31,6.44,1
--,6,43,23.3,-,39,11,36,6.3,0.26
--,6,16,35.6,-,39,15,52,6,0.16
--,6,46,3.3,-,39,32,24,6.62,-0.13
--,6,24,44.5,-,40,17,3,6.31,-0.05
--,6,41,14.1,-,40,20,59,6.12,-0.14
--,6,10,10.3,-,40,21,13,5.58,1.68
--,6,30,59.8,-,40,54,59,6.2,1.4
--,6,28,42.3,-,41,4,28,6.32,0.4
--,6,36,51.3,-,41,33,25,6.34,1.15
Pi 2Col,6,7,52.9,-,42,9,14,5.5,0
Pi 1Col,6,6,41,-,42,17,55,6.12,0.25
--,6,54,26.7,-,42,21,56,6.32,2.24
--,6,52,39.7,-,42,30,16,6.52,0.42
Nu  Pup,6,37,45.7,-,43,11,46,3.17,-0.11
--,6,52,47.1,-,43,58,33,6.46,-0.1
--,6,8,34.6,-,44,21,22,6.27,-0.15
--,6,4,28.4,-,45,2,12,6.35,0.52
--,6,4,40.2,-,45,4,44,5.93,0.49
--,6,7,1.9,-,45,5,29,6.51,1.16
--,6,10,39.9,-,45,16,55,6.31,-0.03
--,6,49,57.8,-,45,27,0,6.55,1.51
--,6,58,41.8,-,45,46,5,6.22,0
--,6,49,54.6,-,46,36,53,5.14,0.45
--,6,40,49.3,-,47,40,29,6.65,1.58
--,6,25,43.6,-,48,10,38,5.76,-0.06
--,6,38,37.6,-,48,13,13,4.93,0.87
--,6,51,32.8,-,48,17,33,6.42,1.21
--,6,4,46.9,-,48,27,31,6.58,0.72
--,6,56,16,-,48,43,16,4.95,1.69
--,6,20,6.1,-,48,44,28,6.6,0.66
--,6,9,23.3,-,49,33,46,6.49,0.52
--,6,29,49.1,-,50,14,21,5.27,0.41
--,6,18,46.8,-,50,21,33,7.04,0.83
--,6,54,2.3,-,50,36,42,6.26,0.99
Tau Pup,6,49,56.2,-,50,36,53,2.93,1.2
--,6,0,49.2,-,51,12,59,5.67,0.2
--,6,46,52.8,-,51,15,57,5.4,1.34
--,6,31,18.3,-,51,49,34,5.6,0.54
--,6,23,37.7,-,52,10,52,5.98,1.04
--,6,45,26.1,-,52,12,4,6.57,1.08
--,6,33,26.1,-,52,19,44,6.19,1.09
--,6,45,53.7,-,52,24,36,5.8,1.53
Alp Car,6,23,57.1,-,52,41,45,-0.72,0.15
--,6,17,51.7,-,52,43,59,6.41,1.46
--,6,24,48.2,-,52,48,23,6.51,1.7
--,6,34,58.6,-,52,58,32,4.39,-0.02
--,6,49,51.3,-,53,37,20,4.4,0.92
--,6,52,46.9,-,54,5,24,6.57,1.08
--,6,46,41.5,-,54,41,41,6.46,0.86
Del Pic,6,10,17.9,-,54,58,7,4.81,-0.23
--,6,47,18.7,-,55,32,24,5.61,1.52
--,6,58,39.6,-,55,43,46,6.27,1.16
Nu  Pic,6,22,55.8,-,56,22,12,5.61,0.24
--,6,58,36.2,-,56,23,41,6.45,0.39
--,6,29,28.5,-,56,51,10,5.22,1.09
--,6,27,4,-,58,0,8,5.82,1.28
--,6,23,46.9,-,58,32,38,6.48,0.12
Mu  Pic,6,31,58.4,-,58,45,15,5.7,-0.06
--,6,16,18.5,-,59,12,49,6.43,0.59
--,6,52,45.4,-,59,20,28,6.41,0.18
--,6,2,9.2,-,60,5,49,6.45,1.58
--,6,50,1.1,-,60,14,57,6.11,0.46
--,6,24,13.7,-,60,16,52,5.8,0
--,6,38,0.6,-,61,31,59,6.18,0.62
--,6,31,10.6,-,61,52,47,6.15,-0.15
Alp Pic,6,48,11.4,-,61,56,29,3.27,0.21
--,6,7,3.4,-,62,9,17,5.05,1.25
--,6,24,26.3,-,63,25,44,6.46,0.66
--,6,23,1.3,-,63,40,59,6.27,1.6
--,6,24,55.6,-,63,49,40,6.27,-0.13
--,6,30,3,-,65,34,6,6.29,0.33
Eta2Dor,6,11,15,-,65,35,22,5.01,1.62
Eta1Dor,6,6,9.4,-,66,2,23,5.71,-0.03
--,6,59,50.5,-,67,54,58,5.17,1.4
Nu  Dor,6,8,44.2,-,68,50,36,5.06,-0.08
Pi 2Dor,6,25,28.6,-,69,41,25,5.38,0.97
Pi 1Dor,6,22,38.2,-,69,59,3,5.56,1.51
--,6,44,56.1,-,70,26,2,6.11,1.33
Iot Vol,6,51,27,-,70,57,48,5.4,-0.11
--,6,15,5.9,-,71,42,10,6.64,0.56
--,6,40,57.8,-,71,46,32,6.51,1.11
--,6,43,36.8,-,73,7,5,6.37,0.96
Alp Men,6,10,14.4,-,74,45,11,5.09,0.72
The Men,6,56,34.4,-,79,25,13,5.45,0.05
Zet Men,6,40,2.7,-,80,48,49,5.64,0.2
--,6,46,58.7,-,87,1,30,6.47,0.42
--,6,27,13.8,+,0,17,57,5.2,1.18
--,6,41,5.4,+,0,29,43,5.79,-0.1
--,6,26,58.7,+,0,50,27,6.71,0.04
--,6,35,15.8,+,0,53,24,5.8,0
--,6,49,3.7,+,1,0,7,6.15,-0.13
--,6,16,21.2,+,1,4,49,6.63,-0.05
--,6,15,54,+,1,10,9,6.37,0.46
--,6,25,18.4,+,1,30,4,6.66,-0.04
--,6,38,38.1,+,1,36,49,6.21,0.15
--,6,2,17.1,+,1,41,40,6.59,-0.05
--,6,28,16.8,+,1,54,44,6.48,-0.07
--,6,21,25.8,+,2,16,7,6.31,0.24
--,6,25,46.6,+,2,16,20,6.51,-0.03
18    Mon,6,47,51.6,+,2,24,44,4.47,1.11
--,6,8,57.9,+,2,29,58,5.73,0.07
--,6,29,14.9,+,2,38,46,6.16,1.54
--,6,37,40.3,+,2,42,15,6.17,1.08
--,6,27,20.4,+,2,54,29,5.55,1.04
--,6,43,6.5,+,3,2,0,6.19,1.37
--,6,51,39.3,+,3,2,30,6.38,0.04
--,6,58,57,+,3,36,8,5.97,1.06
--,6,23,18.5,+,3,45,52,6.4,-0.15
--,6,43,38.7,+,3,55,56,5.9,-0.02
66    Ori,6,4,58.4,+,4,9,31,5.63,1.04
--,6,15,47,+,4,17,1,6.64,-0.17
--,6,36,0,+,4,29,51,6.55,-0.06
8Eps Mon,6,23,46.1,+,4,35,34,4.44,0.18
--,6,23,46.5,+,4,35,44,6.72,0.45
--,6,38,49.5,+,4,42,2,6.57,-0.07
12    Mon,6,32,19.2,+,4,51,21,5.84,0.99
--,6,37,52.7,+,4,57,26,6.15,0.14
--,6,17,16.1,+,5,6,1,5.71,0.61
63    Ori,6,4,58.2,+,5,25,12,5.67,1.04
--,6,15,40.1,+,6,3,58,6.07,-0.13
--,6,37,24.1,+,6,8,7,6.06,0.05
--,6,41,59.3,+,6,20,42,6.37,-0.05
--,6,40,31.8,+,6,22,18,6.51,-0.14
--,6,16,58.4,+,7,3,11,6.57,-0.12
--,6,25,13.1,+,7,5,9,5.98,1.22
--,6,59,20.1,+,7,19,1,6.35,-0.11
13    Mon,6,32,54.2,+,7,19,59,4.5,0
14    Mon,6,34,46.4,+,7,34,21,6.45,-0.02
--,6,58,39,+,7,37,19,6.27,0.11
17    Mon,6,47,19.8,+,8,2,14,4.77,1.4
--,6,55,34.6,+,8,19,29,6.29,0.04
--,6,52,49.4,+,8,22,49,5.77,0.26
16    Mon,6,46,32.4,+,8,35,14,5.93,-0.17
--,6,8,47.2,+,8,40,12,6.55,-0.07
--,6,24,2.3,+,8,53,5,6.26,-0.08
--,6,30,5.5,+,9,1,45,6.57,0.14
--,6,18,40.5,+,9,2,50,6.24,0.87
61Mu  Ori,6,2,23,+,9,38,51,4.12,0.16
15    Mon,6,40,58.7,+,9,53,44,4.66,-0.25
75    Ori,6,17,6.6,+,9,56,33,5.39,0.1
--,6,56,25.8,+,9,57,23,5.92,-0.08
--,6,35,17.6,+,9,59,18,5.88,1.51
--,6,28,18.8,+,10,18,14,6.15,1.15
--,6,13,12.6,+,10,37,39,6.45,0.67
--,6,53,22.5,+,10,59,47,6.24,0.97
--,6,41,17.2,+,11,0,12,6.11,1.68
--,6,31,9.5,+,11,15,3,6.14,-0.08
--,6,31,48.3,+,11,32,40,5.23,0.15
--,6,32,23.3,+,11,40,25,6.03,1.07
--,6,3,24.7,+,11,40,51,6.08,-0.04
--,6,20,52.3,+,11,45,23,6.54,-0.1
--,6,31,39.2,+,11,47,32,6.65,-0.12
--,6,57,25.7,+,11,54,27,6.27,0.34
74    Ori,6,16,26.6,+,12,16,20,5.04,0.42
73    Ori,6,15,45,+,12,33,4,5.33,-0.02
31Xi  Gem,6,45,17.4,+,12,53,44,3.36,0.43
--,6,39,47.6,+,12,58,59,5.97,0.06
38    Gem,6,54,38.7,+,13,10,40,4.65,0.3
30    Gem,6,43,59.3,+,13,13,40,4.49,1.16
35    Gem,6,50,25.5,+,13,24,48,5.65,1.34
--,6,11,27.9,+,13,38,19,6.04,0
--,6,15,8.5,+,13,51,4,5.91,-0.23
--,6,17,33.3,+,14,3,30,6.59,-0.03
--,6,33,36.1,+,14,9,19,5.53,1.11
70Xi  Ori,6,11,56.4,+,14,12,32,4.48,-0.18
--,6,18,5.6,+,14,22,58,6.16,0.01
--,6,20,4.2,+,14,39,4,5.69,1.61
--,6,25,28.1,+,14,43,19,6.24,2.34
67Nu  Ori,6,7,34.3,+,14,46,6,4.42,-0.17
--,6,24,52.9,+,16,3,25,6.33,1.08
69    Ori,6,12,3.3,+,16,7,50,4.95,-0.14
